time;joint;pos_x;pos_y;poz_z
55.087;11;0.623;1.036;1.357
55.093;11;0.623;1.036;1.357
55.103;11;0.623;1.036;1.357
55.111;11;0.623;1.036;1.357
55.119;11;0.623;1.036;1.357
55.128;11;0.622;1.043;1.354
55.137;11;0.622;1.043;1.354
55.145;11;0.622;1.043;1.354
55.154;11;0.615;1.050;1.345
55.165;11;0.615;1.050;1.345
55.172;11;0.615;1.050;1.345
55.182;11;0.615;1.050;1.345
55.189;11;0.592;1.056;1.318
55.198;11;0.592;1.056;1.318
55.205;11;0.592;1.056;1.318
55.215;11;0.592;1.056;1.318
55.223;11;0.561;1.061;1.282
55.233;11;0.561;1.061;1.282
55.240;11;0.561;1.061;1.282
55.250;11;0.561;1.061;1.282
55.258;11;0.529;1.066;1.241
55.268;11;0.529;1.066;1.241
55.275;11;0.529;1.066;1.241
55.285;11;0.529;1.066;1.241
55.292;11;0.494;1.079;1.183
55.302;11;0.494;1.079;1.183
55.309;11;0.494;1.079;1.183
55.319;11;0.494;1.079;1.183
55.327;11;0.446;1.092;1.136
55.337;11;0.446;1.092;1.136
55.345;11;0.446;1.092;1.136
55.353;11;0.380;1.101;1.104
55.364;11;0.380;1.101;1.104
55.371;11;0.380;1.101;1.104
55.381;11;0.380;1.101;1.104
55.387;11;0.302;1.101;1.094
55.398;11;0.302;1.101;1.094
55.405;11;0.302;1.101;1.094
55.414;11;0.302;1.101;1.094
55.421;11;0.225;1.095;1.093
55.432;11;0.225;1.095;1.093
55.440;11;0.225;1.095;1.093
55.449;11;0.225;1.095;1.093
55.457;11;0.151;1.078;1.105
55.466;11;0.151;1.078;1.105
55.474;11;0.151;1.078;1.105
55.483;11;0.151;1.078;1.105
55.491;11;0.080;1.057;1.120
55.502;11;0.080;1.057;1.120
55.510;11;0.080;1.057;1.120
55.519;11;0.080;1.057;1.120
55.528;11;0.027;1.026;1.144
55.536;11;0.027;1.026;1.144
55.543;11;0.027;1.026;1.144
55.553;11;0.009;0.992;1.181
55.565;11;0.009;0.992;1.181
55.572;11;0.009;0.992;1.181
55.580;11;0.009;0.992;1.181
55.588;11;0.009;0.968;1.213
55.598;11;0.009;0.968;1.213
55.604;11;0.009;0.968;1.213
55.615;11;0.009;0.968;1.213
55.623;11;-0.029;0.937;1.233
55.632;11;-0.029;0.937;1.233
55.639;11;-0.029;0.937;1.233
55.648;11;-0.039;0.924;1.243
55.655;11;-0.039;0.924;1.243
55.665;11;-0.039;0.924;1.243
55.673;11;-0.039;0.924;1.243
55.682;11;-0.039;0.924;1.243
55.689;11;-0.051;0.912;1.247
55.700;11;-0.051;0.912;1.247
55.706;11;-0.051;0.912;1.247
55.717;11;-0.051;0.912;1.247
55.723;11;-0.058;0.906;1.247
55.734;11;-0.058;0.906;1.247
55.742;11;-0.058;0.906;1.247
55.752;11;-0.120;0.892;1.216
55.758;11;-0.120;0.892;1.216
55.768;11;-0.120;0.892;1.216
55.779;11;-0.120;0.892;1.216
55.786;11;-0.088;0.909;1.206
55.794;11;-0.088;0.909;1.206
55.802;11;-0.088;0.909;1.206
55.812;11;-0.088;0.909;1.206
55.852;11;-0.080;0.914;1.199
55.859;11;-0.055;0.913;1.231
55.865;11;-0.055;0.913;1.231
55.870;11;-0.055;0.913;1.231
55.878;11;-0.055;0.913;1.231
55.884;11;-0.070;0.924;1.194
55.890;11;-0.070;0.924;1.194
55.896;11;-0.070;0.924;1.194
55.901;11;-0.070;0.924;1.194
55.907;11;-0.070;0.924;1.194
55.915;11;-0.060;0.930;1.182
55.921;11;-0.060;0.930;1.182
55.928;11;-0.060;0.930;1.182
55.937;11;-0.060;0.930;1.182
55.944;11;-0.060;0.930;1.182
55.952;11;-0.047;0.934;1.176
55.959;11;-0.047;0.934;1.176
55.969;11;-0.047;0.934;1.176
55.982;11;-0.047;0.934;1.176
55.990;11;-0.041;0.936;1.169
55.999;11;-0.041;0.936;1.169
56.006;11;-0.041;0.936;1.169
56.016;11;-0.041;0.936;1.169
56.023;11;-0.010;0.958;1.168
56.033;11;-0.010;0.958;1.168
56.043;11;-0.010;0.958;1.168
56.054;11;-0.010;0.958;1.168
56.063;11;0.022;1.004;1.175
56.069;11;0.022;1.004;1.175
56.078;11;0.022;1.004;1.175
56.088;11;0.022;1.004;1.175
56.103;11;0.040;1.063;1.189
56.118;11;0.040;1.063;1.189
56.130;11;0.030;1.153;1.179
56.145;11;0.030;1.153;1.179
56.161;11;0.014;1.235;1.190
56.175;11;0.014;1.235;1.190
56.189;11;0.014;1.235;1.190
56.197;11;0.004;1.323;1.213
56.210;11;0.004;1.323;1.213
56.225;11;-0.003;1.412;1.244
56.240;11;-0.003;1.412;1.244
56.258;11;-0.003;1.472;1.292
56.273;11;-0.003;1.472;1.292
56.283;11;-0.003;1.472;1.292
56.297;11;0.023;1.467;1.361
56.312;11;0.023;1.467;1.361
56.330;11;0.028;1.525;1.413
56.342;11;0.028;1.525;1.413
56.355;11;0.028;1.525;1.413
56.365;11;0.038;1.528;1.459
56.374;11;0.038;1.528;1.459
56.388;11;0.038;1.528;1.459
56.396;11;0.042;1.530;1.496
56.408;11;0.042;1.530;1.496
56.421;11;0.056;1.504;1.518
56.428;11;0.056;1.504;1.518
56.440;11;0.056;1.504;1.518
56.455;11;0.056;1.504;1.518
56.464;11;0.063;1.490;1.531
56.475;11;0.063;1.490;1.531
56.489;11;0.063;1.490;1.531
56.496;11;0.065;1.478;1.532
56.509;11;0.065;1.478;1.532
56.522;11;0.066;1.468;1.524
56.528;11;0.066;1.468;1.524
56.542;11;0.066;1.468;1.524
56.555;11;0.066;1.468;1.524
56.562;11;0.063;1.461;1.507
56.575;11;0.063;1.461;1.507
56.587;11;0.057;1.456;1.482
56.594;11;0.057;1.456;1.482
56.608;11;0.057;1.456;1.482
56.621;11;0.050;1.453;1.459
56.628;11;0.050;1.453;1.459
56.640;11;0.050;1.453;1.459
56.654;11;0.050;1.453;1.459
56.661;11;0.046;1.452;1.443
56.674;11;0.046;1.452;1.443
56.686;11;0.043;1.452;1.433
56.694;11;0.043;1.452;1.433
56.708;11;0.043;1.452;1.433
56.720;11;0.042;1.451;1.427
56.727;11;0.042;1.451;1.427
56.740;11;0.042;1.451;1.427
56.753;11;0.042;1.451;1.427
56.760;11;0.041;1.451;1.423
56.773;11;0.041;1.451;1.423
56.786;11;0.040;1.451;1.420
56.793;11;0.040;1.451;1.420
56.806;11;0.040;1.451;1.420
56.818;11;0.040;1.451;1.418
56.825;11;0.040;1.451;1.418
56.838;11;0.040;1.451;1.418
56.846;11;0.040;1.451;1.418
56.858;11;0.039;1.452;1.418
56.870;11;0.039;1.452;1.418
56.878;11;0.039;1.452;1.418
56.890;11;0.039;1.452;1.418
56.902;11;0.039;1.452;1.418
56.910;11;0.039;1.452;1.418
56.922;11;0.039;1.452;1.417
56.934;11;0.039;1.452;1.417
56.941;11;0.039;1.452;1.417
56.954;11;0.039;1.452;1.417
56.960;11;0.034;1.466;1.392
56.973;11;0.034;1.466;1.392
56.985;11;0.034;1.466;1.392
56.992;11;0.043;1.466;1.345
57.004;11;0.043;1.466;1.345
57.011;11;0.072;1.437;1.288
57.023;11;0.072;1.437;1.288
57.036;11;0.072;1.437;1.288
57.042;11;0.072;1.437;1.288
57.055;11;0.072;1.437;1.288
57.069;11;0.111;1.384;1.228
57.079;11;0.111;1.384;1.228
57.092;11;0.159;1.297;1.190
57.104;11;0.159;1.297;1.190
57.118;11;0.159;1.297;1.190
57.131;11;0.159;1.297;1.190
57.141;11;0.209;1.182;1.154
57.155;11;0.209;1.182;1.154
57.168;11;0.253;1.101;1.144
57.197;11;0.253;1.101;1.144
57.265;11;0.253;1.101;1.144
57.321;11;0.272;0.818;1.157
57.351;11;0.290;0.613;1.214
57.382;11;0.263;0.500;1.307
57.394;11;0.245;0.437;1.375
57.406;11;0.245;0.437;1.375
57.420;11;0.245;0.437;1.375
57.430;11;0.235;0.421;1.422
57.441;11;0.235;0.421;1.422
57.453;11;0.235;0.421;1.422
57.466;11;0.226;0.392;1.455
57.475;11;0.226;0.392;1.455
57.486;11;0.226;0.392;1.455
57.493;11;0.221;0.397;1.472
57.505;11;0.221;0.397;1.472
57.516;11;0.221;0.397;1.472
57.522;11;0.221;0.440;1.483
57.534;11;0.221;0.440;1.483
57.541;11;0.221;0.440;1.483
57.554;11;0.221;0.440;1.483
57.563;11;0.223;0.471;1.480
57.574;11;0.223;0.471;1.480
57.586;11;0.223;0.471;1.480
57.595;11;0.224;0.483;1.471
57.605;11;0.224;0.483;1.471
57.617;11;0.224;0.483;1.471
57.625;11;0.227;0.492;1.455
57.636;11;0.227;0.492;1.455
57.645;11;0.227;0.492;1.455
57.657;11;0.227;0.492;1.455
57.669;11;0.233;0.501;1.431
57.679;11;0.233;0.501;1.431
57.689;11;0.233;0.501;1.431
57.700;11;0.246;0.506;1.409
57.712;11;0.246;0.506;1.409
57.721;11;0.246;0.506;1.409
57.731;11;0.252;0.509;1.398
57.740;11;0.252;0.509;1.398
57.753;11;0.252;0.509;1.398
57.761;11;0.255;0.511;1.389
57.771;11;0.255;0.511;1.389
57.784;11;0.255;0.511;1.389
57.792;11;0.257;0.511;1.381
57.803;11;0.257;0.511;1.381
57.813;11;0.257;0.511;1.381
57.823;11;0.257;0.511;1.381
57.835;11;0.256;0.510;1.374
57.844;11;0.256;0.510;1.374
57.855;11;0.256;0.510;1.374
57.865;11;0.253;0.509;1.367
57.873;11;0.253;0.509;1.367
57.886;11;0.253;0.509;1.367
57.894;11;0.249;0.507;1.362
57.907;11;0.249;0.507;1.362
57.919;11;0.249;0.507;1.362
57.930;11;0.249;0.507;1.362
57.940;11;0.243;0.505;1.359
57.959;11;0.243;0.505;1.359
57.967;11;0.232;0.498;1.362
57.977;11;0.232;0.498;1.362
57.987;11;0.216;0.478;1.383
57.995;11;0.216;0.478;1.383
58.005;11;0.216;0.478;1.383
58.017;11;0.216;0.478;1.383
58.025;11;0.216;0.478;1.383
58.038;11;0.204;0.455;1.420
58.049;11;0.204;0.455;1.420
58.058;11;0.204;0.455;1.420
58.070;11;0.204;0.455;1.420
58.084;11;0.199;0.431;1.462
58.097;11;0.199;0.431;1.462
58.106;11;0.203;0.411;1.508
58.124;11;0.203;0.411;1.508
58.134;11;0.210;0.395;1.553
58.145;11;0.210;0.395;1.553
58.155;11;0.210;0.395;1.553
58.166;11;0.218;0.387;1.593
58.174;11;0.218;0.387;1.593
58.184;11;0.218;0.387;1.593
58.193;11;0.238;0.386;1.637
58.209;11;0.238;0.386;1.637
58.228;11;0.238;0.386;1.637
58.249;11;0.253;0.392;1.660
58.258;11;0.253;0.392;1.660
58.268;11;0.272;0.403;1.679
58.278;11;0.272;0.403;1.679
58.296;11;0.272;0.403;1.679
58.304;11;0.283;0.410;1.689
58.313;11;0.283;0.410;1.689
58.322;11;0.283;0.410;1.689
58.331;11;0.292;0.417;1.693
58.342;11;0.292;0.417;1.693
58.354;11;0.292;0.417;1.693
58.366;11;0.298;0.425;1.693
58.374;11;0.298;0.425;1.693
58.388;11;0.298;0.425;1.693
58.399;11;0.303;0.432;1.689
58.408;11;0.303;0.432;1.689
58.420;11;0.303;0.432;1.689
58.430;11;0.307;0.440;1.679
58.441;11;0.307;0.440;1.679
58.453;11;0.307;0.440;1.679
58.466;11;0.311;0.447;1.657
58.473;11;0.311;0.447;1.657
58.487;11;0.311;0.447;1.657
58.499;11;0.312;0.451;1.628
58.509;11;0.312;0.451;1.628
58.522;11;0.312;0.451;1.628
58.534;11;0.309;0.447;1.588
58.543;11;0.309;0.447;1.588
58.554;11;0.309;0.447;1.588
58.568;11;0.303;0.444;1.547
58.578;11;0.303;0.444;1.547
58.590;11;0.294;0.443;1.504
58.604;11;0.294;0.443;1.504
58.613;11;0.294;0.443;1.504
58.624;11;0.294;0.443;1.504
58.639;11;0.282;0.446;1.470
58.653;11;0.282;0.446;1.470
58.661;11;0.266;0.452;1.434
58.674;11;0.266;0.452;1.434
58.687;11;0.266;0.452;1.434
58.699;11;0.249;0.460;1.406
58.708;11;0.249;0.460;1.406
58.721;11;0.249;0.460;1.406
58.734;11;0.233;0.469;1.382
58.750;11;0.233;0.469;1.382
58.772;11;0.233;0.469;1.382
58.793;11;0.233;0.469;1.382
58.810;11;0.233;0.469;1.382
58.822;11;0.211;0.482;1.359
58.847;11;0.178;0.496;1.324
58.868;11;0.178;0.496;1.324
58.883;11;0.163;0.501;1.309
58.915;11;0.153;0.504;1.300
58.930;11;0.153;0.504;1.300
58.940;11;0.146;0.505;1.295
58.953;11;0.146;0.505;1.295
58.967;11;0.146;0.505;1.295
58.978;11;0.140;0.504;1.296
58.990;11;0.140;0.504;1.296
59.000;11;0.140;0.504;1.296
59.009;11;0.137;0.499;1.302
59.026;11;0.137;0.499;1.302
59.045;11;0.138;0.490;1.317
59.056;11;0.152;0.475;1.346
59.074;11;0.152;0.475;1.346
59.091;11;0.152;0.475;1.346
59.109;11;0.174;0.461;1.377
59.126;11;0.174;0.461;1.377
59.145;11;0.186;0.454;1.395
59.158;11;0.186;0.454;1.395
59.174;11;0.205;0.447;1.415
59.193;11;0.205;0.447;1.415
59.211;11;0.221;0.441;1.429
59.234;11;0.232;0.437;1.437
59.245;11;0.232;0.437;1.437
59.258;11;0.232;0.437;1.437
59.274;11;0.244;0.434;1.442
59.290;11;0.244;0.434;1.442
59.306;11;0.244;0.434;1.442
59.324;11;0.255;0.432;1.444
59.341;11;0.255;0.432;1.444
59.360;11;0.267;0.434;1.441
59.380;11;0.282;0.440;1.428
59.402;11;0.282;0.440;1.428
59.414;11;0.298;0.446;1.403
59.430;11;0.298;0.446;1.403
59.447;11;0.310;0.454;1.371
59.465;11;0.310;0.454;1.371
59.490;11;0.320;0.461;1.332
59.507;11;0.327;0.463;1.299
59.525;11;0.327;0.463;1.299
59.542;11;0.331;0.464;1.278
59.560;11;0.331;0.464;1.278
59.579;11;0.327;0.486;1.237
59.595;11;0.327;0.486;1.237
59.616;11;0.327;0.489;1.214
